Row Labels,Sum of Percent with religious exemption
4,0.1
DESERT OASIS HIGH SCHOOL,0
4,0
DICK SCOBEE ELEMENTARY SCHOOL,0.2
8,0.2
DICKINSON ELEMENTARY,0
1,0
DIERINGER HEIGHTS ELEMENTARY,0.2
8,0.2
DIMMITT MIDDLE SCHOOL,0.5
9,0.5
DISCOVERY,1
6,1
DISCOVERY DEPOT MONTESSORI,0
6,0
DISCOVERY DEPOT MONTESSORI SCHOOLHOUSE,0
6,0
DISCOVERY ELEMENTARY,0.3
0,0.3
8,0
DISCOVERY ELEMENTARY SCHOOL,0.4
6,0.4
DISCOVERY LAB SCHOOL,0
4,0
DISCOVERY MIDDLE SCHOOL,0.5
3,0.5
DISCOVERY MONTESSORI,0
6,0
DISCOVERY PRIMARY SCHOOL,1.1
8,1.1
DISCOVERY SCHOOL,0
1,0
DISHMAN HILLS HIGH SCHOOL (CBE ALTERNATIVE PROGRAMS),0
5,0
DIXIE ELEMENTARY SCHOOL,5.9
0,5.9
DOLAN ACADEMY & LEARNING CENTER,0
1,0
DOROTHY FOX,1.1
3,1.1
DOWER ELEMENTARY SCHOOL,0
0,0
DOWNING ELEMENTARY SCHOOL,0
6,0
DRUM INTERMEDIATE,0.5
10,0.5
DRY CREEK ELEMENTARY,0
6,0
DUNLAP ELEMENTARY SCHOOL,0.3
9,0.3
DUTCH HILL ELEMENTARY,0.2
1,0.2
DWIGHT D EISENHOWER ELEMENTARY,0.5
3,0.5
E OMAK ELEMENTARY,0.5
0,0.5
EAGLE CREEK ELEMENTARY,1.2
2,1.2
EAGLE HARBOR HIGH SCHOOL,0
6,0
EAGLE HIGH SCHOOL,0
4,0
EAGLE PARK SCHOOL,0
5,0
EAGLE ROCK MULTIAGE SCHOOL,0
1,0
EAGLE VIEW CHRISTIAN SCHOOL,0.9
10,0.9
EAGLERIDGE ELEMENTARY,1
1,1
EARLY WORLD MONTESSORI,0
9,0
EAST FARMS SCHOOL,0.2
5,0.2
EAST GRAYS HARBOR HIGH SCHOOL,0
6,0
EAST HILL ELEMENTARY SCHOOL,0
9,0
EAST OLYMPIA ELEMENTARY,0.2
10,0.2
EAST PORT ORCHARD ELEMENTARY,0
6,0
EAST RIDGE ELEMENTARY,0.3
1,0.3
EAST VALLEY CENTRAL MIDDLE SCHOOL,0
4,0
EAST VALLEY ELEMENTARY,0
4,0
EAST VALLEY HIGH SCHOOL,0.7
4,0.2
5,0.5
EAST VALLEY MIDDLE SCHOOL,0.2
5,0.2
EASTGATE ELEMENTARY SCHOOL,0
4,0
9,0
EASTLAKE HIGH SCHOOL,0.1
8,0.1
EASTMONT JUNIOR HIGH,0.1
8,0.1
EASTMONT SENIOR HIGH,0.2
8,0.2
EASTON SCHOOL,0
0,0
EASTSIDE ACADEMY,0
9,0
EASTSIDE ACADEMY OVERLAKE CAMPUS,0
1,0
EASTSIDE CATHOLIC SCHOOL,0
8,0
EASTSIDE CHRISTIAN SCHOOL,0.8
9,0.8
EASTSIDE PREPARATORY SCHOOL,0
1,0
EATON ARROWSMITH ACADEMY,0
1,0
EATONVILLE ELEMENTARY SCHOOL,0.3
0,0.3
EATONVILLE HIGH SCHOOL,0.6
0,0.6
EATONVILLE MIDDLE SCHOOL,0.5
0,0.5
EBENEZER CHRISTIAN SCHOOL,0.7
1,0.7
ECHO LAKE ELEMENTARY SCHOOL,0.2
7,0.2
ECKSTEIN MIDDLE SCHOOL,0.2
7,0.2
EDGEMONT JR HIGH,0
10,0
EDGERTON ELEMENTARY,0.1
8,0.1
EDISON ELEMENTARY,0.8
3,0.8
EDISON ELEMENTARY AND 7/8,0
0,0
EDISON ELEMENTARY SCHOOL,0.6
4,0
5,0
6,0.6
EDMONDS ELEMENTARY,0
7,0
EDMONDS HEIGHTS K-12,1.2
7,1.2
EDMONDS INDEPENDENT LEARNING,0
2,0
EDMONDS WOODWAY HIGH SCHOOL,0.4
7,0.4
EDWIN MARKHAM ELEMENTARY,0
4,0
EDWIN R OPSTAD ELEMENTARY,0
8,0
EINSTEIN ELEMENTARY,0
1,0
EISENHOWER HIGH SCHOOL,0
4,0
EISENHOWER MIDDLE SCHOOL,0.2
2,0.2
EISMANN ELEMENTARY,0.2
0,0.2
ELGER BAY ELEMENTARY,0
2,0
ELK PLAIN SCHOOL OF CHOICE,0.3
10,0.3
ELK RIDGE ELEMENTARY,0.5
0,0.5
ELLENSBURG CHRISTIAN SCHOOL,0
8,0
ELLENSBURG HIGH SCHOOL,0.2
8,0.2
ELLSWORTH ELEMENTARY SCHOOL,0.5
0,0.5
ELMA ELEMENTARY SCHOOL,0
6,0
ELMA HIGH SCHOOL,0.4
0,0.4
ELMA MIDDLE SCHOOL,0.3
6,0.3
ELMHURST ELEMENTARY SCHOOL,0
10,0
EMERALD CITY SCHOOL,0
7,0
EMERALD HEIGHTS ACADEMY,0
9,0
EMERALD HEIGHTS ELEMENTARY,0.2
6,0.2
EMERALD HILLS ELEMENTARY,0
8,0
EMERALD PARK ELEMENTARY SCHOOL,0.4
9,0.4
EMERALD RIDGE HIGH SCHOOL,0.1
8,0.1
EMERSON ELEMENTARY,1.1
0,0.9
4,0.2
6,0
EMERSON ELEMENTARY SCHOOL,0
2,0
9,0
EMERSON HIGH SCHOOL (BEST SR HIGH),0
1,0
EMERSON K-12 (FAMILY LEARNING CENTER),2.9
1,2.9
ENATAI ELEMENTARY SCHOOL,0
9,0
ENDEAVOR MIDDLE SCHOOL,0
0,0
ENDEAVOUR ELEMENTARY,0
2,0
ENDEAVOUR ELEMENTARY SCHOOL,0.8
3,0.8
8,0
ENDEAVOUR INTERMEDIATE,0.5
8,0.5
ENDICOTT/ST JOHN ELEM AND MIDDLE,0
0,0
ENGLISH CROSSING ELEMENTARY,0.6
0,0.6
ENTERPRISE ELEMENTARY SCHOOL,0
9,0
ENTERPRISE MIDDLE SCHOOL,0.1
0,0.1
ENTIAT MIDDLE AND HIGH SCHOOL,0
8,0
ENUMCLAW HIGH SCHOOL,0.4
8,0.4
ENUMCLAW MIDDLE SCHOOL,0
8,0
ENVIRONMENTAL AND ADVENTURE SCHOOL,0
1,0
EPHRATA HIGH SCHOOL,1.5
4,1.5
EPHRATA MIDDLE SCHOOL,0.3
0,0.3
EPIPHANY SCHOOL,0
7,0
ESQUIRE HILLS ELEMENTARY,0
6,0
ETON SCHOOL,1.7
9,1.7
EVALINE ELEMENTARY SCHOOL,2
3,2
EVERETT CHRISTIAN SCHOOL,0
2,0
EVERETT HIGH SCHOOL,0.4
2,0.4
EVERGREEN ACADEMY,0
1,0
EVERGREEN ACADEMY OF ARTS & SCIENCES,0
3,0
EVERGREEN CHRISTIAN PRIVATE SCHOOL,1.2
9,1.2
EVERGREEN CHRISTIAN SCHOOL,0
10,0
EVERGREEN ELEMENTARY,0.4
6,0.4
10,0
EVERGREEN ELEMENTARY SCHOOL,0.4
2,0
5,0.2
10,0.2
EVERGREEN FLEX ACADEMY,0.6
3,0.6
EVERGREEN FOREST ELEMENTARY,0
10,0
EVERGREEN HEIGHTS ELEMENTARY,0.8
8,0.8
EVERGREEN HIGH SCHOOL,0.3
3,0.3
EVERGREEN LUTHERAN HIGH SCHOOL,0
9,0
EVERGREEN MIDDLE SCHOOL,0.5
1,0.2
2,0.2
5,0.1
EVERGREEN PRIMARY,0.2
10,0.2
EVERGREEN SCHOOL,0
5,0
7,0
EVERSON ELEMENTARY,0
1,0
EXCEL PUBLIC CHARTER SCHOOL,0
7,0
EXCELSIOR HIGH SCHOOL,3.6
3,3.6
EXPLORATIONS ACADEMY/GLOBAL COMMUNITY INSTITUTE,5.9
2,5.9
EXPLORER ACADEMY,0
6,0
EXPLORER COMMUNITY SCHOOL,0
1,0
EXPLORER MIDDLE SCHOOL,0.3
2,0.3
EXPLORER WEST MIDDLE SCHOOL,0
7,0
FAIRHAVEN MIDDLE SCHOOL,0.5
2,0.5
FAIRMOUNT ELEMENTARY,0
2,0
FAIRMOUNT PARK ELEMENTARY,0.2
7,0.2
FAIRVIEW CHRISTIAN SCHOOL,0
7,0
FAIRVIEW JUNIOR HIGH SCHOOL,0
6,0
FAIRWOOD ELEMENTARY SCHOOL,0.3
8,0.3
FAITH LUTHERAN SCHOOL,1.7
10,1.7
FALL CITY ELEMENTARY,0.2
0,0.2
FAMILY ACADEMY/ACADEMY NW,0
7,0
FAMILY HOUSE ACADEMY,0
3,0
FARWELL ELEMENTARY SCHOOL,0.3
5,0.3
FAWCETT ELEMENTARY SCHOOL,0
10,0
FEDERAL WAY HIGH SCHOOL,0.3
9,0.3
FEDERAL WAY PUBLIC ACADEMY,0.6
9,0.6
FELIDA ELEMENTARY SCHOOL,0.1
3,0.1
FERN HILL ELEMENTARY SCHOOL,0
6,0
FERNDALE HIGH SCHOOL,0.6
1,0.6
FERNWOOD ELEMENTARY,0
1,0
FERRIS HIGH SCHOOL,0.5
5,0.5
FERRUCCI JUNIOR HIGH,0.1
10,0.1
FIDALGO ELEMENTARY,0
2,0
FIFE HIGH SCHOOL,0.4
10,0.4
FINCH ELEMENTARY,1.1
5,1.1
FINLEY ELEMENTARY,0
4,0
FINLEY MIDDLE SCHOOL,0
4,0
FINN HILL JUNIOR HIGH SCHOOL,0.6
1,0.6
FIR GROVE CHILDRENS CENTER,0
3,0
FIRCREST ELEMENTARY SCHOOL,0
3,0
FIRGROVE ELEMENTARY,0
0,0
FIRM FOUNDATION CHRISTIAN SCHOOL,0
3,0
FIRST CREEK MIDDLE SCHOOL,0.5
10,0.5
FIRST PLACE SCHOLARS SCHOOL,0
9,0
FIRST PRESBYTERIAN CHRISTIAN SCHOOL,0
5,0
FIRST PRESBYTERIAN CHURCH SCHOOL,0
6,0
FISHER ELEMENTARY SCHOOL,0
1,0
FISHERS LANDING ELEMENTARY SCHOOL,0
3,0
FIVE ACRE SCHOOL,0
6,0
FIVE MILE PRAIRIE SCHOOL (MEAD EDUCATION PARTNERSHIP PROG),1.4
5,1.4
FOOTHILLS CHRISTIAN SCHOOL,0
1,0
FOOTHILLS ELEMENTARY,0
0,0
FOOTHILLS MIDDLE SCHOOL,0.2
8,0.2
FORDS PRAIRIE ELEMENTARY,0.3
3,0.3
FOREST PARK ADVENTIST SCHOOL,0
2,0
FOREST RIDGE SCHOOL OF SACRED HEART,0
9,0
FOREST VIEW ELEMENTARY SCHOOL,0.6
1,0.6
FORKS ALTERNATIVE SCHOOL,0
6,0
FORKS ELEMENTARY SCHOOL,0
6,0
FORKS HIGH SCHOOL,0.4
6,0.4
FORKS INTERMEDIATE SCHOOL,0
6,0
FORT COLVILLE ELEMENTARY,0.3
5,0.3
FORT STEVENS ELEMENTARY,0.5
0,0.5
FORT VANCOUVER HIGH SCHOOL,0.5
3,0.5
FOSS HIGH SCHOOL,0.2
6,0.2
FOSTER SENIOR HIGH SCHOOL,0.1
9,0.1
FOUR HEROES ELEMENTARY,0.3
10,0.3
FRANK LOVE ELEMENTARY,0
1,0
FRANK WAGNER ELEMENTARY,0.2
1,0.2
FRANKLIN ELEMENTARY,1.2
1,0
5,1.2
6,0
FRANKLIN ELEMENTARY SCHOOL,0
6,0
FRANKLIN HIGH SCHOOL,0
9,0
FRANKLIN MIDDLE SCHOOL,0
4,0
FRANKLIN PIERCE HIGH SCHOOL,0.2
10,0.2
FRANTZ COE ELEMENTARY SCHOOL,0.2
7,0.2
FREDERICKSON ELEMENTARY,0.8
10,0.8
FREEMAN ELEMENTARY SCHOOL,0
5,0
FREEMAN HIGH SCHOOL,0
5,0
FREEMAN MIDDLE SCHOOL,0
5,0
FRENCH IMMERSION SCHOOL OF WASHINGTON,0
9,0
FRENCH-AM SCHOOL OF PUGET SOUND,0
9,0
FRIDAY HARBOR ELEMENTARY SCHOOL,1
0,1
FRIDAY HARBOR HIGH SCHOOL,0
0,0
FRIDAY HARBOR MIDDLE SCHOOL,0.8
0,0.8
FRONTIER MIDDLE SCHOOL,2.2
3,1.4
4,0.4
8,0.4
FROST ELEMENTARY,0.2
1,0.2
FRUIT VALLEY ELEMENTARY SCHOOL,0
3,0
FRUITLAND ELEMENTARY,0.3
10,0.3
FRYELANDS ELEMENTARY,0.2
1,0.2
FUTURES SCHOOL,4.3
1,4.3
FUTURUS HIGH SCHOOL,0
3,0
GAISER MIDDLE SCHOOL,1.2
3,1.2
GARDEN HEIGHTS ELEMENTARY,0
4,0
GARDENVIEW MONTESSORI,0
2,0
GARDNER SCHOOL,0
3,0
GARFIELD AT PALOUSE HIGH SCHOOL,0
5,0
GARFIELD AT PALOUSE MIDDLE SCHOOL,0
0,0
GARFIELD ELEMENTARY,0.9
0,0
5,0.9
GARFIELD ELEMENTARY SCHOOL,0.7
2,0
4,0
10,0.7
GARFIELD HIGH SCHOOL,0.1
9,0.1
GARRISON MIDDLE SCHOOL,0.3
5,0.3
GARRY MIDDLE SCHOOL,0.2
5,0.2
GATE PROGRAM,0
3,0
GATES SECONDARY SCHOOL,0
10,0
GATEWAY CHRISTIAN SCHOOLS,0
6,0
GATEWAY CROSSPOINT CHRISTIAN SCHOOL,1.2
6,1.2
GATEWAY MIDDLE SCHOOL,0
1,0
GATEWOOD ELEMENTARY SCHOOL,0
7,0
GAUSE ELEMENTARY,0.8
3,0.8
GEIGER MONTESSORI SCHOOL,0.2
6,0.2
GENESEE HILL ELEMENTARY,0.3
7,0.3
GENEVA ELEMENTARY SCHOOL,0.4
2,0.4
GEORGE C MARSHALL ELEMENTARY,0
3,0
GEORGE ELEMENTARY,0
0,0
GEORGE T. DANIEL ELEMENTARY SCHOOL,0.2
8,0.2
GEORGE WASHINGTON BUSH MIDDLE SCH,0.2
10,0.2
GESS ELEMENTARY,0.3
0,0.3
GIBSON EK HIGH SCHOOL,0
0,0
GIDDENS SCHOOL,0
9,0
GIG HARBOR ACADEMY,0
0,0
GIG HARBOR HIGH,0.4
6,0.4
GILBERT ELEMENTARY SCHOOL,0
4,0
GILDO REY ELEMENTARY SCHOOL,0.3
8,0.3
GLACIER MIDDLE SCHOOL,0.1
0,0.1
GLACIER PARK ELEMENTARY,0.1
8,0.1
GLACIER PEAK HIGH SCHOOL,0.3
1,0.3
GLACIER VALLEY HIGH SCHOOL,0
0,0
GLACIER VIEW JUNIOR HIGH,0.4
8,0.4
GLENDALE LUTHERAN SCHOOL,1.8
7,1.8
GLENRIDGE ELEMENTARY,0.4
0,0.4
GLENWOOD ELEMENTARY,0
0,0
1,0
GLENWOOD HEIGHTS PRIMARY,0.8
3,0.8
GLENWOOD SECONDARY,0
3,0
GLOBAL CONNECTIONS HIGH SCHOOL,0
9,0
GLOVER MIDDLE SCHOOL,0.2
5,0.2
GOLD BAR ELEMENTARY,1.9
1,1.9
GOLDENDALE ADVENTIST SCHOOL,0
3,0
GOLDENDALE HIGH SCHOOL,2.2
3,2.2
GOLDENDALE MIDDLE SCHOOL,1
0,1
GOLDENDALE PRIMARY SCHOOL,2.7
3,2.7
GONZAGA PREPARATORY SCHOOL,0.4
5,0.4
GOOD SHEPHERD MONTESSORI,0
0,0
GOODMAN MIDDLE SCHOOL,0.5
6,0.5
GOSPEL OUTREACH,0
10,0
GRACE ACADEMY,0
2,0
GRACE CHRISTIAN ACADEMY (REPUBLIC),0
5,0
GRACE LUTHERAN SCHOOL,0
4,0
GRAHAM ELEMENTARY,0.3
10,0.3
GRAHAM HILL ELEMENTARY SCHOOL,0.6
9,0.6
GRAHAM KAPOWSIN HIGH SCHOOL,0.6
8,0.6
GRAINGER ELEMENTARY,0
4,0
GRAND MOUND ELEMENTARY,0.4
3,0.4
GRAND RIDGE ELEMENTARY,0
8,0
GRANDVIEW ADVENTIST JUNIOR ACADEMY,0
4,0
GRANDVIEW HIGH SCHOOL,0
4,0
GRANDVIEW MIDDLE SCHOOL,0
4,0
GRANGER HIGH SCHOOL,0
4,0
GRANGER MIDDLE SCHOOL,0.2
4,0.2
GRANITE FALLS HIGH SCHOOL,0.5
1,0.5
GRANITE FALLS MIDDLE SCHOOL,0.5
1,0.5
GRANT ELEMENTARY,2
4,0.4
5,1.6
GRANT ELEMENTARY SCHOOL,0.3
6,0.3
8,0
GRANT STREET ELEMENTARY,1.5
6,1.5
GRANTHAM ELEMENTARY,0
5,0
GRAPEVIEW ELEMENTARY AND MIDDLE SCHOOL,0
6,0
GRASS LAKE ELEMENTARY SCHOOL,0
8,0
GRASS VALLEY ELEMENTARY SCHOOL,0.5
3,0.5
GRAY MIDDLE SCHOOL,0.2
6,0.2
GRAYS HARBOR ADVENTIST CHRISTIAN SCHOOL,0
0,0
GREAT NORTHERN ELEMENTARY,0
5,0
GREATER TRINITY CHRISTIAN LEARNING ACADEMY,0
2,0
GREEN DOT DESTINY MIDDLE SCHOOL,0
7,0
GREEN GABLES ELEMENTARY SCHOOL,0
9,0
GREEN LAKE ELEMENTARY SCHOOL,0.2
7,0.2
GREEN MOUNTAIN ELEMENTARY,0.3
6,0.3
GREEN MOUNTAIN SCHOOL,0.7
3,0.7
GREEN PARK ELEMENTARY SCHOOL,0.2
5,0.2
GREEN RIVER MONTESSORI SCHOOL,0
8,0
GREENACRES ELEMENTARY,0.5
5,0.5
GREENACRES MIDDLE SCHOOL,0.3
5,0.3
GREENWOOD ELEMENTARY SCHOOL,0
7,0
GREGORY HEIGHTS ELEMENTARY,0
7,0
GREYWOLF ELEMENTARY SCHOOL,0.5
6,0.5
GRIFFIN BAY SCHOOL,7.7
0,7.7
GRIFFIN SCHOOL,0.2
10,0.2
GROVE ELEMENTARY,0
2,0
GUARDIAN ANGEL ST. BONIFACE SCHOOL,0
5,0
H.E.A.R.T. HIGH SCHOOL,0
3,0
HALLER MIDDLE SCHOOL,0.6
0,0.6
HALLETT ELEMENTARY,0.2
0,0.2
HAMBLEN ELEMENTARY,0.7
5,0.7
HAMILTON ELEMENTARY,0.8
6,0.8
HAMILTON INTERNATIONAL MIDDLE SCHOOL,0.2
7,0.2
HAMLIN ROBINSON SCHOOL,0
9,0
HANFORD HIGH SCHOOL,0.3
4,0.3
HAPPY VALLEY ELEMENTARY SCHOOL,0.2
2,0.2
HARBOR CHRISTIAN SCHOOLS,0
6,0
HARBOR HEIGHTS ELEMENTARY SCHOOL,0.7
6,0.7
HARBOR HIGH SCHOOL,0.7
6,0.7
HARBOR MONTESSORI SCHOOL,0
6,0
HARBOR RIDGE MIDDLE SCHOOL,0.2
6,0.2
HARBOR SCHOOL,0
7,0
HARBOUR POINTE MIDDLE SCHOOL,0.5
2,0.5
HARMONY ELEMENTARY,0.6
1,0.6
HARMONY ELEMENTARY SCHOOL,0.8
3,0.8
HARNEY ELEMENTARY SCHOOL,0.4
3,0.4
HARRAH COMMUNITY CHRISTIAN SCHOOL,0
0,0
HARRAH ELEMENTARY SCHOOL,0
0,0
HARRINGTON ELEMENTARY SCHOOL,0
0,0
HARRINGTON HIGH SCHOOL,0
0,0
HARRISON MIDDLE SCHOOL,0
4,0
HARRISON PREP SCHOOL,0.1
10,0.1
HARRY S TRUMAN ELEMENTARY SCHOOL,0.9
3,0.9
HARVARD ELEMENTARY,0
10,0
HATHAWAY ELEMENTARY,0.7
3,0.7
HAWKINS MIDDLE SCHOOL,0.7
6,0.7
HAWTHORNE ELEMENTARY SCHOOL,0.7
2,0
4,0.2
9,0.5
HAYES FREEDOM HIGH SCHOOL,2
3,2
HAZEL DELL ELEMENTARY SCHOOL,0.2
3,0.2
HAZEL VALLEY ELEMENTARY,0
7,0
HAZELWOOD ELEMENTARY,0
2,0
HAZELWOOD ELEMENTARY SCHOOL,0.4
8,0.2
9,0.2
HAZEN SENIOR HIGH SCHOOL,0.1
9,0.1
HEALTH SCIENCES AND HUMAN SERVICES,0
7,0
HEARTHWOOD ELEMENTARY SCHOOL,0.8
3,0.8
HEATHERWOOD MIDDLE SCHOOL,0.1
1,0.1
HEDDEN ELEMENTARY SCHOOL,0.2
10,0.2
HEIGHTS ELEMENTARY,0
5,0
HELA HIGH SCHOOL,0.3
3,0.3
HELEN B. STAFFORD ELEMENTARY,0.4
6,0.4
HELEN BALLER ELEM,1.8
3,1.8
HELEN HALLER ELEMENTARY SCHOOL,0.5
6,0.5
HENDERSON BAY ALT HIGH SCHOOL,0.8
6,0.8
HENRY M. JACKSON HIGH SCHOOL,0.1
0,0.1
HERITAGE CHRISTIAN ACADEMY,0
1,0
HERITAGE CHRISTIAN SCHOOL,0
10,0
HERITAGE HIGH SCHOOL,0.3
3,0.3
HERITAGE SCHOOL,3.4
2,3.4
HIAWATHA ELEMENTARY SCHOOL,0
4,0
HIDDEN CREEK ELEMENTARY SCHOOL,0.2
6,0.2
HIDDEN RIVER MIDDLE SCHOOL,0.6
1,0.6
HIGH SCHOOL RE ENTRY,0
1,0
HIGHLAND CHRISTIAN SCHOOLS,0
2,0
HIGHLAND ELEMENTARY,0.9
0,0
1,0.9
HIGHLAND HIGH SCHOOL,0
0,0
HIGHLAND JUNIOR HIGH SCHOOL,0
0,0
HIGHLAND MIDDLE SCHOOL,0
9,0
HIGHLAND PARK ELEMENTARY SCHOOL,0.3
7,0.3
HIGHLAND TERRACE ELEMENTARY,0
7,0
HIGHLANDS ELEMENTARY SCHOOL,0.9
9,0.9
HIGHLANDS HIGH SCHOOL (OMAK ALTERNATIVE HIGH SCHOOL),0
0,0
HIGHLANDS MIDDLE SCHOOL,0
4,0
HIGHLINE HIGH SCHOOL,0
7,0
HILDER PEARSON ELEMENTARY,0
6,0
HILLCREST ELEMENTARY,0.2
2,0.2
HILLCREST ELEMENTARY SCHOOL,0.1
0,0.1
HILLSIDE ACADEMY,0
1,0
HILLSIDE ELEMENTARY SCHOOL,0.6
10,0.6
HILLSIDE STUDENT COMMUNITY SCHOOL,0
9,0
HILLTOP ELEMENTARY,0
2,0
7,0
HILLTOP SCHOOL,0
0,0
HILTON ELEMENTARY SCHOOL,0
4,0
HOCKINSON HEIGHTS ELEMENTARY SCHOOL,0.6
3,0.6
HOCKINSON HIGH SCHOOL,0.5
3,0.5
HOCKINSON MIDDLE SCHOOL,1.7
3,1.7
HOFSTETTER ELEMENTARY,0
5,0
HOLDEN VILLAGE COMMUNITY SCHOOL,0
0,0
HOLLYWOOD HILL ELEMENTARY,0
1,0
HOLMES ELEMENTARY,0.2
5,0.2
HOLY FAMILY PARISH SCHOOL,0
1,0
HOLY FAMILY SCHOOL,3.4
5,0
7,0
8,0.8
10,2.6
HOLY INNOCENTS SCHOOL OF NW,0
9,0
HOLY NAMES ACADEMY,0
7,0
HOLY ROSARY ELEMENTARY,0.7
7,0.7
"HOLY ROSARY, EDMONDS",0
7,0
HOLY TRINITY LUTHERAN SCHOOL,0
9,0
HONEY DEW ELEMENTARY,0.4
9,0.4
HOOD CANAL ELEM & JUNIOR HIGH,0.6
6,0.6
HOOVER ELEMENTARY SCHOOL,0.2
4,0.2
HOPE ACADEMY,0
7,0
HOPE LUTHERAN SCHOOL,0
7,0
HOQUIAM HIGH SCHOOL,0.8
6,0.8
HOQUIAM MIDDLE SCHOOL,0
6,0
HORIZON ELEMENTARY,0.4
2,0.4
HORIZON ELEMENTARY SCHOOL,0
8,0
HORIZON MIDDLE SCHOOL,0.2
0,0.2
5,0
HORIZON SCHOOL,0
7,0
HORIZONS ELEMENTARY,0.2
10,0.2
HORSE HEAVEN HILLS MIDDLE SCHOOL,0.7
4,0.7
HOSANNA CHRISTIAN SCHOOL,3.5
3,3.5
HOUGH ELEMENTARY SCHOOL,0
3,0
HOUSEL MIDDLE SCHOOL,0
4,0
HRRS - JUAN DIEGO ACADEMY,0
6,0
HUDSONS BAY HIGH SCHOOL,0.8
3,0.8
HUDTLOFF MIDDLE SCHOOL,0.1
10,0.1
HULAN L WHITSON ELEM,0.8
0,0.8
HUNTINGTON MIDDLE SCHOOL,0
3,0
HUTTON ELEMENTARY,0.5
5,0.5
HYLA MIDDLE SCHOOL,0
6,0
I-TRACC,0
0,0
ICICLE RIVER MIDDLE SCHOOL,0
8,0
IDLEWILD ELEMENTARY SCHOOL,0
10,0
ILALKO ELEMENTARY SCHOOL,0.2
8,0.2
ILLAHEE ELEMENTARY SCHOOL,0.3
3,0.3
ILLAHEE MIDDLE SCHOOL,0
9,0
ILWACO MIDDLE/HIGH SCHOOL,0.7
3,0.7
IMAGE ELEMENTARY SCHOOL,0.3
3,0.3
IMAGINATION SCHOOL OF EDUCATION,0
10,0
IMMACULATE CONCEPTION REGIONAL SCHOOL,0
1,0
IMMACULATE CONCEPTION/OUR LADY OF PERPETUAL HELP,0
2,0
INCHELIUM ELEMENTARY SCHOOL,0.3
0,0.3
INCHELIUM HIGH SCHOOL,0
0,0
INCHELIUM MIDDLE SCHOOL,0
0,0
INDEX ELEMENTARY SCHOOL,0
0,0
INDIAN TRAIL ELEMENTARY,0
5,0
INGLEMOOR HIGH SCHOOL,0.3
1,0.3
INGLEWOOD MIDDLE SCHOOL,0.2
8,0.2
INGRAHAM HIGH SCHOOL,0.3
7,0.3
INSIGHT SCHOOL OF WASHINGTON,0
6,0
INTERAGENCY PROGRAMS,0.2
0,0.2
INTERLAKE SENIOR HIGH SCHOOL,0.1
9,0.1
INTERNATIONAL COMMUNITY SCHOOL,0
1,0
INTERNATIONAL SCHOOL,0.5
9,0.5
INTL SCH OF COMMUNICATIONS,0.2
2,0.2
IQ ACADEMY WASHINGTON,1
3,1
IRENE REITHER ELEMENTARY SCHOOL,0
1,0
ISLAND CHRISTIAN ACADEMY,0
2,0
ISLAND PARK ELEMENTARY,0
9,0
ISLAND VIEW ELEMENTARY,0
2,0
ISLANDER MIDDLE SCHOOL,0.1
9,0.1
ISOM ELEMENTARY SCHOOL,0
1,0
ISSAQUAH HIGH SCHOOL,0.2
8,0.2
ISSAQUAH MIDDLE SCHOOL,0.1
8,0.1
ISSAQUAH VALLEY ELEMENTARY,0
8,0
J M WEATHERWAX HIGH SCHOOL,0.5
6,0.5
JACKSON ELEMENTARY SCHOOL,0
2,0
JACKSON PARK ELEMENTARY,0
6,0
JAMES MCGEE ELEMENTARY,0.6
4,0.6
JAMES SALES ELEMENTARY,0
10,0
JANE ADDAMS K-8,0
7,0
JANE ADDAMS MIDDLE SCHOOL,0.2
7,0.2
JASON LEE ELEMENTARY SCHOOL,0.2
4,0.2
JASON LEE MIDDLE SCHOOL,1.8
3,0.7
6,1.1
JEFFERSON COMMUNITY SCHOOL,0
6,0
JEFFERSON ELEMENTARY,0.6
0,0.3
1,0
2,0.3
4,0
5,0
JEFFERSON ELEMENTARY (SOUTHSIDE),0
5,0
JEFFERSON ELEMENTARY SCHOOL,0
6,0
JEFFERSON LINCOLN ELEMENTARY,0
3,0
JEFFERSON MIDDLE SCHOOL,0.9
3,0.4
10,0.5
JEMTEGAARD MIDDLE SCHOOL,1.7
3,1.7
JENKINS CREEK ELEMENTARY,0.5
8,0.5
JENKINS JUNIOR/SENIOR HIGH SCHOOL,0.5
5,0.5
JEWISH DAY SCHOOL,0
9,0
JING MEI ELEMENTARY SCHOOL,0
9,0
JOHN CAMPBELL PRIMARY,0
4,0
JOHN F KENNEDY CATHOLIC HIGH SCHOOL,0.1
7,0.1
JOHN HAY ELEMENTARY SCHOOL,0.2
7,0.2
JOHN MUIR ELEMENTARY SCHOOL,0
9,0
JOHN NEWBERY ELEMENTARY,0
8,0
JOHN ROGERS ELEMENTARY SCHOOL,0
7,0
JOHN SAGER MIDDLE SCHOOL,0.3
5,0.3
JOHN SEDGWICK JUNIOR HIGH,0.3
6,0.3
JOHN STANFORD INTERNATIONAL ELEMENTARY,0.2
7,0.2
JOHNSON CHRISTIAN SCHOOL,0
5,0
JOURNEY CHRISTIAN SCHOOL,0
3,0
JOURNEY SCHOOL,0
2,0
JOYFUL SCHOLARS MONTESSORI ELEMENTARY SCHOOL,0
0,0
JUANITA ELEMENTARY,0.3
1,0.3
JUANITA HIGH,0.5
1,0.5
